ID;Sito;Zona;Attiva;Codice;Longitudine;Latitudine
71;Piazza San Babila;1;1;A0109;9,197407;45,466415
72;Piazza Sant' Agostino;6;1;A0026;9,169898;45,458408
73;Piazza Santa Maria Nascente;8;1;A0037;9,136353;45,486111
74;Piazza Stovani Cesare 3;6;1;E0160;9,09258;45,460625
75;Piazza Turr Stefano 2;8;1;E0123;9,152715;45,483822
76;Piazza Udine;3;1;A0012;9,236923;45,49107
77;Piazza XXV aprile / corso Como;9;1;A0076;9,186918;45,480759
78;Piazza XXV aprile 8;9;1;E0085;9,187853;45,48
79;Piazzale Accursio;8;1;A0074;9,145279;45,492519
80;Piazzale Accursio 5;8;1;E0034;9,146084;45,491676
81;Piazzale Bande Nere;6;1;A0025;9,137106;45,46138
82;Piazzale Cimitero Maggiore 18;8;1;E0071;9,122078;45,50423
83;Piazzale Cimitero Monumentale (Farini);8;1;E0749;9,181185;45,485825
84;Piazzale Cimitero Monumentale 2;8;0;E0112;9,179506;45,484871
85;Piazzale dello Sport;7;1;A0124;9,126486;45,480217
86;Piazzale Egeo / Greco FS;9;1;A0078;9,214118;45,513172
87;Piazzale Gambara;7;1;A0029;9,142928;45,464947
88;Piazzale Insubria;4;1;A0059;9,220581;45,452721
89;Piazzale Lodi;4;1;A0018;9,21018;45,447208
90;Piazzale Loreto;2;1;A0053;9,216821;45,486156
91;Piazzale Lotto;8;1;A0033;9,142717;45,479988
92;Piazzale Martini;4;1;A0058;9,220357;45,456783
93;Piazzale Martiri della deportazione 1;9;1;E0150;9,180463;45,528488
94;Piazzale Segesta;7;1;A0131;9,137648;45,475918
95;Piazzale Segesta 11;7;1;E0227;9,137192;45,476379
96;Piscina Argelati;6;1;A0120;9,172563;45,44957
97;Piscina Lido;8;1;A0121;9,141055;45,481895
98;Piscina Scarioni;9;1;A0080;9,194511;45,510395
99;Porta Garibaldi;9;1;A0077;9,187472;45,483463
100;Stadio  S. Siro Parcheggio;7;1;A0126;9,120551;45,478535
101;Stazione FS Rogoredo;4;1;A0019;9,239003;45,433277
102;Stazione M1 Bisceglie;7;1;A0032;9,113728;45,455292
103;Stazione M1 Bonola;8;1;A0039;9,111069;45,496437
104;Stazione M1 Gorla;2;1;A0004;9,222485;45,506214
105;Stazione M1 Lampugnano;8;1;A0075;9,126961;45,489376
106;Stazione M1 Molino Dorino;8;1;A0035;9,093308;45,505085
107;Stazione M1 Pagano;7;1;A0071;9,160429;45,468479
108;Stazione M1 Wagner;7;1;A0031;9,154983;45,467804
109;Stazione M2 Cimiano;2;1;A0002;9,241251;45,499905
110;Stazione M2 Crescenzago;2;1;A0001;9,24831;45,505257
111;Stazione M2 Famagosta;6;1;A0067;9,169008;45,437107
112;Stazione M2 Gobba;3;1;A0010;9,260462;45,511208
113;Stazione M3  Affori Centro;9;1;A0042;9,174196;45,513397
114;Stazione M3 Brenta;4;1;A0020;9,21847;45,442307
115;Stazione M3 Comasina;9;1;A0041;9,161918;45,53175
116;Stazione M3 Corvetto;4;1;A0017;9,223581;45,439857
117;Stazione M3 San Donato;4;1;A0021;9,256222;45,429127
118;Via Albenga 2;7;1;E0281;9,119455;45,47393
119;Via Aldini 72;8;1;E0096;9,131646;45,511845
120;Via Amantea;7;1;E1010;9,085729;45,465504
121;Via Anselmo Da Baggio;7;1;A0072;9,089318;45,463646
122;Via Anselmo da Baggio 55;7;0;E0041;9,086894;45,463825
123;Via Azario 3;1;1;E0098;9,168458;45,459957
124;Via baldinucci 76;9;1;E0097;9,168962;45,503483
125;Via Barzaghi 2;8;1;E0125;9,121965;45,506672
126;Via Bergamini 5;1;0;E0331;9,19399;45,461983
127;Via Bergognone 30;6;1;E0007;9,164309;45,452625
128;Via Bernardino da Novate 4;9;1;E1056;9,166295;45,525799
129;Via Bernardino Luini 2;1;0;E0111;9,179108;45,465687
130;Via Boffalora 109;6;1;E0270;9,150589;45,431198
131;Via Boffalora 116;6;1;E0698;9,149912;45,433064
132;Via Boifava 17;5;1;E0056;9,175081;45,426968
133;Via Borgonuovo 23;1;0;E0074;9,189949;45,472221
134;Via Boscovich Ruggero 42;3;1;E0062;9,206674;45,480465
135;Via Bovisasca 173;9;1;E0207;9,155636;45,516865
136;Via brivio cesare 4;9;1;E0104;9,177311;45,503799
137;Via Caprilli / Palatino;7;1;A0123;9,130041;45,480148
138;Via Carbonia 7;8;1;E0209;9,130646;45,515476
139;Via Cesare Lombroso 54;4;1;E1058;9,234814;45,456207
140;Via Cimarosa Domenico 1;7;1;E0141;9,159319;45,466309
141;Via Ciriè 9;9;1;E0078;9,195619;45,511272
142;Via Colleoni Bartolomeo 8;8;1;E0075;9,154248;45,483093
143;Via Custodi 13;5;1;E0040;9,182283;45,449471
144;Via Dante;1;1;A0115;9,18416;45,466892
145;Via De Amicis 17;1;1;E0721;9,179462;45,457973
146;Via De Marchi 66;2;1;E0199;9,21205;45,504135
147;Via Degli Appennini 147/a;8;1;E0176;9,101201;45,504551
148;Via dei Cinquecento 19;4;1;E0029;9,220681;45,435181
149;Via dei Fabbri 9;1;1;E0113;9,180139;45,458008
150;Via dei Panigarola 14;4;1;E0025;9,222478;45,435799
151;Via dei Rospigliosi;7;1;A0129;9,128045;45,476044
152;Via dei Transiti;2;1;A0006;9,220571;45,490677
